DATE                      R50                 R100                R200
2016-01-04                 NaN                 NaN                 NaN
2016-01-05                 NaN                 NaN                 NaN
2016-01-06                 NaN                 NaN                 NaN
2016-01-07                 NaN                 NaN                 NaN
2016-01-08                 NaN                 NaN                 NaN
2016-01-11                 NaN                 NaN                 NaN
2016-01-12                 NaN                 NaN                 NaN
2016-01-13                 NaN                 NaN                 NaN
2016-01-14                 NaN                 NaN                 NaN
2016-01-15                 NaN                 NaN                 NaN
2016-01-19                 NaN                 NaN                 NaN
2016-01-20                 NaN                 NaN                 NaN
2016-01-21                 NaN                 NaN                 NaN
2016-01-22                 NaN                 NaN                 NaN
2016-01-25                 NaN                 NaN                 NaN
2016-01-26                 NaN                 NaN                 NaN
2016-01-27                 NaN                 NaN                 NaN
2016-01-28                 NaN                 NaN                 NaN
2016-01-29                 NaN                 NaN                 NaN
2016-02-01                 NaN                 NaN                 NaN
2016-02-02                 NaN                 NaN                 NaN
2016-02-03                 NaN                 NaN                 NaN
2016-02-04                 NaN                 NaN                 NaN
2016-02-05                 NaN                 NaN                 NaN
2016-02-08                 NaN                 NaN                 NaN
2016-02-09                 NaN                 NaN                 NaN
2016-02-10                 NaN                 NaN                 NaN
2016-02-11                 NaN                 NaN                 NaN
2016-02-12                 NaN                 NaN                 NaN
2016-02-16                 NaN                 NaN                 NaN
2016-02-17                 NaN                 NaN                 NaN
2016-02-18                 NaN                 NaN                 NaN
2016-02-19                 NaN                 NaN                 NaN
2016-02-22                 NaN                 NaN                 NaN
2016-02-23                 NaN                 NaN                 NaN
2016-02-24                 NaN                 NaN                 NaN
2016-02-25                 NaN                 NaN                 NaN
2016-02-26                 NaN                 NaN                 NaN
2016-02-29                 NaN                 NaN                 NaN
2016-03-01                 NaN                 NaN                 NaN
2016-03-02                 NaN                 NaN                 NaN
2016-03-03                 NaN                 NaN                 NaN
2016-03-04                 NaN                 NaN                 NaN
2016-03-07                 NaN                 NaN                 NaN
2016-03-08                 NaN                 NaN                 NaN
2016-03-09                 NaN                 NaN                 NaN
2016-03-10                 NaN                 NaN                 NaN
2016-03-11                 NaN                 NaN                 NaN
2016-03-14                 NaN                 NaN                 NaN
2016-03-15  6.314015984535E-01                 NaN                 NaN
2016-03-16  6.481723189354E-01                 NaN                 NaN
2016-03-17  6.807963848114E-01                 NaN                 NaN
2016-03-18  7.133758068085E-01                 NaN                 NaN
2016-03-21  7.193203568459E-01                 NaN                 NaN
2016-03-22  7.242026329041E-01                 NaN                 NaN
2016-03-23  6.589775681496E-01                 NaN                 NaN
2016-03-24  6.695652008057E-01                 NaN                 NaN
2016-03-28  6.510480642319E-01                 NaN                 NaN
2016-03-29  7.174447178841E-01                 NaN                 NaN
2016-03-30  7.321100831032E-01                 NaN                 NaN
2016-03-31  7.378048896790E-01                 NaN                 NaN
2016-04-01  7.443973422050E-01                 NaN                 NaN
2016-04-04  7.385542392731E-01                 NaN                 NaN
2016-04-05  7.000600099564E-01                 NaN                 NaN
2016-04-06  7.218899726868E-01                 NaN                 NaN
2016-04-07  6.630824208260E-01                 NaN                 NaN
2016-04-08  6.662686467171E-01                 NaN                 NaN
2016-04-11  6.793802380562E-01                 NaN                 NaN
2016-04-12  7.103857398033E-01                 NaN                 NaN
2016-04-13  7.775800824165E-01                 NaN                 NaN
2016-04-14  7.675931453705E-01                 NaN                 NaN
2016-04-15  7.684148550034E-01                 NaN                 NaN
2016-04-18  7.814335823059E-01                 NaN                 NaN
2016-04-19  7.652581930161E-01                 NaN                 NaN
2016-04-20  7.584994435310E-01                 NaN                 NaN
2016-04-21  7.539542913437E-01                 NaN                 NaN
2016-04-22  7.614035010338E-01                 NaN                 NaN
2016-04-25  7.393337488174E-01                 NaN                 NaN
2016-04-26  7.380396723747E-01                 NaN                 NaN
2016-04-27  7.231934666634E-01                 NaN                 NaN
2016-04-28  6.854979395866E-01                 NaN                 NaN
2016-04-29  6.420255899429E-01                 NaN                 NaN
2016-05-02  6.558139324188E-01                 NaN                 NaN
2016-05-03  5.696864128113E-01                 NaN                 NaN
2016-05-04  5.255516767502E-01                 NaN                 NaN
2016-05-05  4.840579628944E-01                 NaN                 NaN
2016-05-06  4.823393225670E-01                 NaN                 NaN
2016-05-09  5.112782120705E-01                 NaN                 NaN
2016-05-10  5.257374048233E-01                 NaN                 NaN
2016-05-11  4.786127209663E-01                 NaN                 NaN
2016-05-12  4.338532686234E-01                 NaN                 NaN
2016-05-13  4.085400998592E-01                 NaN                 NaN
2016-05-16  4.630911052227E-01                 NaN                 NaN
